20140616 030800;1922.5;1922.5;1922.5;1922.5;27
20140616 030900;1922.75;1922.75;1922.75;1922.75;2
20140616 031000;1922.75;1922.75;1922.5;1922.75;11
20140616 031100;1922.75;1922.75;1922.75;1922.75;65
20140616 031200;1922.75;1923;1922.75;1922.75;58
20140616 031300;1923;1923;1922.75;1923;9
20140616 031400;1923;1923;1923;1923;2
20140616 031500;1922.75;1922.75;1922.75;1922.75;1
20140616 031600;1922.75;1923;1922.75;1922.75;23
20140616 031700;1922.75;1923;1922.75;1923;10
20140616 031800;1922.75;1923;1922.75;1922.75;36
20140616 031900;1922.75;1922.75;1922.75;1922.75;6
20140616 032000;1922.75;1923;1922.75;1923;3
20140616 032100;1923;1923;1922.75;1922.75;117
20140616 032200;1922.75;1922.75;1922.5;1922.5;16
20140616 032300;1922.5;1922.75;1922.5;1922.75;6
20140616 032400;1922.5;1922.75;1922.5;1922.75;12
20140616 032500;1922.75;1922.75;1922.75;1922.75;4
20140616 032600;1922.75;1922.75;1922.5;1922.75;18
20140616 032700;1922.75;1922.75;1922.25;1922.5;152
20140616 032900;1922.25;1922.25;1922.25;1922.25;41
20140616 033000;1922;1922;1921.75;1921.75;110
20140616 033100;1922;1922.5;1922;1922.25;254
20140616 033200;1922;1922.25;1922;1922.25;6
20140616 033300;1922.25;1922.25;1922;1922;60
20140616 033400;1921.75;1922;1921.75;1922;53
20140616 033500;1922;1922;1922;1922;57
20140616 033600;1922;1922;1922;1922;3
20140616 033700;1922;1922;1921.75;1921.75;87
20140616 033800;1922;1922;1921.75;1921.75;6
20140616 033900;1921.75;1921.75;1921.5;1921.5;77
20140616 034000;1921.5;1922;1921.5;1921.75;103
20140616 034100;1921.75;1921.75;1921.75;1921.75;2
20140616 034200;1921.75;1922;1921.75;1922;5
20140616 034300;1922;1922.25;1922;1922.25;118
20140616 034400;1922.25;1922.25;1921.75;1922;41
20140616 034500;1921.75;1922;1921.75;1922;9
20140616 034600;1921.75;1921.75;1921.75;1921.75;44
20140616 034700;1921.5;1921.5;1921.25;1921.25;44
20140616 034800;1921.25;1921.25;1921;1921;78
20140616 034900;1921.25;1921.5;1921.25;1921.5;81
20140616 035000;1921.25;1921.5;1921.25;1921.25;15
20140616 035100;1921.5;1921.5;1921.25;1921.25;86
20140616 035200;1921.25;1921.5;1921.25;1921.5;69
20140616 035300;1921.5;1921.5;1921;1921.25;116
20140616 035400;1921.25;1921.5;1921.25;1921.25;7
20140616 035600;1921.25;1921.5;1921.25;1921.5;50
20140616 035700;1921.5;1921.5;1921.25;1921.25;32
20140616 035800;1921.25;1921.25;1921.25;1921.25;21
20140616 035900;1921.5;1921.5;1921.25;1921.5;3
20140616 040000;1921.25;1921.25;1921.25;1921.25;18
20140616 040100;1921.5;1921.5;1921.5;1921.5;21
20140616 040200;1921.5;1921.5;1921.5;1921.5;4
20140616 040300;1921.5;1921.5;1921.5;1921.5;2
20140616 040400;1921.5;1921.5;1921.25;1921.5;15
20140616 040500;1921.5;1921.5;1921.25;1921.25;45
20140616 040600;1921.25;1921.25;1921.25;1921.25;4
20140616 040700;1921;1921.5;1921;1921.25;64
20140616 040800;1921.25;1921.5;1921.25;1921.5;4
20140616 040900;1921.5;1921.5;1921.5;1921.5;5
20140616 041000;1921.5;1921.5;1921.5;1921.5;1
20140616 041100;1921.5;1921.75;1921.5;1921.75;27
20140616 041200;1921.75;1921.75;1921.5;1921.75;4
20140616 041300;1921.5;1921.5;1921.25;1921.25;38
20140616 041400;1921.5;1921.5;1921.5;1921.5;2
20140616 041500;1921.5;1921.5;1921.5;1921.5;114
20140616 041600;1921.25;1921.5;1921.25;1921.5;22
20140616 041700;1921.5;1921.5;1921.5;1921.5;2
20140616 041800;1921.5;1921.5;1921.5;1921.5;4
20140616 041900;1921.5;1921.5;1921.25;1921.5;6
20140616 042000;1921.5;1921.5;1921.5;1921.5;6
20140616 042100;1921.5;1921.5;1921.25;1921.5;6
20140616 042200;1921.5;1921.5;1921.25;1921.25;4
20140616 042300;1921.25;1921.25;1921.25;1921.25;35
20140616 042400;1921.25;1921.25;1921.25;1921.25;1
20140616 042500;1921.5;1921.5;1921.5;1921.5;3
20140616 042600;1921.5;1921.5;1921.5;1921.5;2
20140616 042700;1921.25;1921.5;1921.25;1921.25;38
20140616 042800;1921.5;1921.5;1921.5;1921.5;3
20140616 042900;1921.5;1921.5;1921.5;1921.5;3
20140616 043000;1921.5;1921.5;1921.5;1921.5;21
20140616 043100;1921.5;1921.5;1921.5;1921.5;4
20140616 043200;1921.5;1921.5;1921.5;1921.5;1
20140616 043300;1921.25;1921.5;1921.25;1921.5;13
20140616 043400;1921.5;1921.5;1921.5;1921.5;3
20140616 043500;1921.5;1921.5;1921.5;1921.5;5
20140616 043600;1921.5;1921.5;1921.5;1921.5;3
20140616 043700;1921.25;1921.5;1921.25;1921.25;5
20140616 043800;1921.5;1921.5;1921.5;1921.5;26
20140616 043900;1921.5;1921.5;1921.25;1921.5;17
20140616 044100;1921.5;1921.5;1921.5;1921.5;7
20140616 044200;1921.5;1921.5;1921.5;1921.5;7
20140616 044300;1921.5;1921.5;1921.5;1921.5;9
20140616 044400;1921.5;1921.5;1921.25;1921.25;175
20140616 044500;1921.5;1921.5;1921.25;1921.5;23
20140616 044600;1921.25;1921.5;1921.25;1921.5;4
20140616 044700;1921.5;1921.5;1921.5;1921.5;1
20140616 044800;1921.5;1921.5;1921.5;1921.5;1
20140616 044900;1921.5;1921.5;1921.5;1921.5;4
20140616 045000;1921.5;1921.75;1921.25;1921.75;96
20140616 045100;1921.5;1921.75;1921.5;1921.75;3
20140616 045200;1921.75;1921.75;1921.5;1921.75;42
20140616 045300;1921.75;1921.75;1921.75;1921.75;4
20140616 045400;1921.75;1921.75;1921.75;1921.75;29
20140616 045500;1921.75;1921.75;1921.75;1921.75;4
20140616 045600;1921.75;1921.75;1921.75;1921.75;1
20140616 045800;1921.75;1921.75;1921;1921.25;267
20140616 045900;1921.25;1921.25;1921.25;1921.25;29
20140616 050000;1921;1921.25;1921;1921.25;17
20140616 050100;1921.25;1921.25;1920.5;1921;542
20140616 050200;1921;1921;1920.75;1921;15
20140616 050300;1921;1921;1921;1921;8
20140616 050400;1921;1921.5;1921;1921.5;334
20140616 050500;1921.5;1922.25;1921.5;1922.25;80
20140616 050600;1922.25;1922.25;1922;1922.25;11
20140616 050700;1922.25;1922.25;1922;1922.25;13
20140616 050800;1922.25;1922.25;1922;1922;27
20140616 050900;1922.25;1922.25;1922;1922.25;6
20140616 051000;1922.25;1922.25;1922.25;1922.25;4
20140616 051100;1922.25;1922.25;1922;1922;23
20140616 051200;1922.25;1922.25;1922.25;1922.25;2
20140616 051300;1922.25;1922.25;1922.25;1922.25;10
20140616 051400;1922.25;1922.25;1922;1922.25;5
20140616 051500;1922.25;1922.25;1922.25;1922.25;68
20140616 051700;1922.5;1922.5;1922.25;1922.5;350
20140616 051800;1922.5;1922.5;1922.25;1922.5;4
20140616 051900;1922.5;1922.5;1922.5;1922.5;5
20140616 052000;1922.5;1922.5;1922.5;1922.5;16
20140616 052100;1922.25;1922.5;1922.25;1922.25;149
20140616 052200;1922.25;1922.25;1922.25;1922.25;52
20140616 052300;1922.25;1922.5;1922.25;1922.5;15
